,headline.main,state,headline_raw,head_split
84,WILLIAMS IS HIRED TO DEFEND MARCUS; Washington Lawyer Meets With Accused Ex-Official A Popular Lawyer Complaint by Englishman Discussions Held In 1965,Washington,williams is hired to defend marcus washington lawyer meets with accused ex-official a popular lawyer complaint by englishman discussions held in 1965,williams is hired to defend marcus washington lawyer meets with accused ex-official a popular lawyer complaint by englishman discussions held in 1965
85,N.Y.U. Wins in Court Again On Washington Sq. Library,Washington,n.y.u. wins in court again on washington sq. library,n.y.u. wins in court again on washington sq. library
86,Washington: A Steadier Administration,Washington,washington: a steadier administration,washington: a steadier administration
87,New Delhi to Replace Envoy To Washington in December,Washington,new delhi to replace envoy to washington in december,new delhi to replace envoy to washington in december
88,President's Wife Returns To Washington From Texas,Washington,president's wife returns to washington from texas,president's wife returns to washington from texas
89,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
90,Washington Proceedings,Washington,washington proceedings,washington proceedings
91,The Proceedings In Washington; THE PRESIDENT,Washington,the proceedings in washington the president,the proceedings in washington the president
92,"The Proceedings In Washington; YESTERDAY (June 28, 1967) THE PRESIDENT",Washington,"the proceedings in washington yesterday (june 28, 1967) the president",the proceedings in washington yesterday (june 28 1967) the president
93,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
94,Washington : 'And God Spake Unto Israel...',Washington,washington : 'and god spake unto israel...',washington : 'and god spake unto israel...'
95,A British journalist reports on the contrast between covering the news in Washington and London; Behind the Bureaucratic Curtain,Washington,a british journalist reports on the contrast between covering the news in washington and london behind the bureaucratic curtain,a british journalist reports on the contrast between covering the news in washington and london behind the bureaucratic curtain
96,CITY POST MAY GO TO OUTSIDE EXPERT; W.E. Washington Considered for Housing Chairman,Washington,city post may go to outside expert w.e. washington considered for housing chairman,city post may go to outside expert w.e. washington considered for housing chairman
97,Washington: The Politics of Birth Control,Washington,washington: the politics of birth control,washington: the politics of birth control
98,WASHINGTON POOR TO GET LEGAL AID; Shift by U.S. Attorney to Let Lawyers in Police Stations Katzenbach Role Reported The Standard Warning Opposition in Pittsburgh,Washington,washington poor to get legal aid shift by u.s. attorney to let lawyers in police stations katzenbach role reported the standard warning opposition in pittsburgh,washington poor to get legal aid shift by u.s. attorney to let lawyers in police stations katzenbach role reported the standard warning opposition in pittsburgh
99,Washington's Lacrosse Goalie Proves Heroic Despite Defeat,Washington,washington's lacrosse goalie proves heroic despite defeat,washington's lacrosse goalie proves heroic despite defeat
0,KENNEDY IS HONORED IN MISSISSIPPI MASS,Mississippi,kennedy is honored in mississippi mass,kennedy is honored in mississippi mass
1,Mississippi's Non-Representatives,Mississippi,mississippi's non-representatives,mississippi's non-representatives
2,RIGHTS LEADERS SPLIT ON TACTICS; Disagree on Challenge to 5 Mississippi Congressmen,Mississippi,rights leaders split on tactics disagree on challenge to 5 mississippi congressmen,rights leaders split on tactics disagree on challenge to 5 mississippi congressmen
3,NIGHTRIDERS KILL MISSISSIPPI NEGRO; Fire-bomb Attack Destroys Both Home and Grocery,Mississippi,nightriders kill mississippi negro fire-bomb attack destroys both home and grocery,nightriders kill mississippi negro fire-bomb attack destroys both home and grocery
4,Williams and Winter Face Runoff in Mississippi,Mississippi,williams and winter face runoff in mississippi,williams and winter face runoff in mississippi
5,DEMOCRATS FACE MISSISSIPPI RIFT; Biracial Youth Clubs Move for Convention Challenge,Mississippi,democrats face mississippi rift biracial youth clubs move for convention challenge,democrats face mississippi rift biracial youth clubs move for convention challenge
6,6 MORE NEGROES GET BONDS IN MISSISSIPPI,Mississippi,6 more negroes get bonds in mississippi,6 more negroes get bonds in mississippi
7,Race in Mississippi Won by Williams; Negroes Lose Tests; Mississippi Governorship Race Won by Williams,Mississippi,race in mississippi won by williams negroes lose tests mississippi governorship race won by williams,race in mississippi won by williams negroes lose tests mississippi governorship race won by williams
8,Abduction of Klan Official Reported in Mississippi,Mississippi,abduction of klan official reported in mississippi,abduction of klan official reported in mississippi
9,MISSISSIPPI UNIT GETS AID CRITERIA; Antipoverty Agency Lists 9 Head Start Conditions,Mississippi,mississippi unit gets aid criteria antipoverty agency lists 9 head start conditions,mississippi unit gets aid criteria antipoverty agency lists 9 head start conditions
10,Mississippi Klan Feared a Civil Rights 'Invasion',Mississippi,mississippi klan feared a civil rights 'invasion',mississippi klan feared a civil rights 'invasion'
11,Books Authors; A Summer in Mississippi Award for Children's Books Pictures Taken in Subways,Mississippi,books authors a summer in mississippi award for children's books pictures taken in subways,books authors a summer in mississippi award for children's books pictures taken in subways
12,15 in Klan Indicted In a Negro Slaying; A MISSISSIPPI JURY INDICTS 15 IN KLAN,Mississippi,15 in klan indicted in a negro slaying a mississippi jury indicts 15 in klan,15 in klan indicted in a negro slaying a mississippi jury indicts 15 in klan
13,Weyerhaeuser Acquires A Concern in Mississippi,Mississippi,weyerhaeuser acquires a concern in mississippi,weyerhaeuser acquires a concern in mississippi
14,Meredith Begins Mississippi Walk to Combat Fear; Meredith Begins 220-Mile Walk To Overcome Fear in Mississippi,Mississippi,meredith begins mississippi walk to combat fear meredith begins 220-mile walk to overcome fear in mississippi,meredith begins mississippi walk to combat fear meredith begins 220-mile walk to overcome fear in mississippi
15,Mississippi Negro Wins In Appeal on Jury Makeup,Mississippi,mississippi negro wins in appeal on jury makeup,mississippi negro wins in appeal on jury makeup
16,COAST WOMAN GAINS IN TRANS-MISSISSIPPI,Mississippi,coast woman gains in trans-mississippi,coast woman gains in trans-mississippi
17,All-White Jury Picked as Trial of 18 in Slaying of 3 Rights Workers Begins in Mississippi,Mississippi,all-white jury picked as trial of 18 in slaying of 3 rights workers begins in mississippi,all-white jury picked as trial of 18 in slaying of 3 rights workers begins in mississippi
18,Quake Hits North Mississippi,Mississippi,quake hits north mississippi,quake hits north mississippi
19,MISSISSIPPI PUPILS PROTEST SHOOTING,Mississippi,mississippi pupils protest shooting,mississippi pupils protest shooting
20,MISSISSIPPI GETS AIR FORCE BASE; Plans Training Program at Site Occupied by Negroes,Mississippi,mississippi gets air force base plans training program at site occupied by negroes,mississippi gets air force base plans training program at site occupied by negroes
21,MISSISSIPPI DELTA HELD TOMATO AREA,Mississippi,mississippi delta held tomato area,mississippi delta held tomato area
22,Inquiry Told of 'Relativeily Minor' Spending Gap by Mississippi Head Start,Mississippi,inquiry told of 'relativeily minor' spending gap by mississippi head start,inquiry told of 'relativeily minor' spending gap by mississippi head start
23,FOUR IN MISSISSIPPI SEEK ELECTION BAN,Mississippi,four in mississippi seek election ban,four in mississippi seek election ban
24,Moderate Leads Mississippi Contest,Mississippi,moderate leads mississippi contest,moderate leads mississippi contest
25,Mississippi Strike Violence,Mississippi,mississippi strike violence,mississippi strike violence
26,MISSISSIPPI HANDED A DISTRICTING PLAN,Mississippi,mississippi handed a districting plan,mississippi handed a districting plan
27,JUDGE IN MISSISSIPPI REBUTS F.B.I. ON JURY,Mississippi,judge in mississippi rebuts f.b.i. on jury,judge in mississippi rebuts f.b.i. on jury
28,2 Charged With Kidnapping In Mississippi Negro Killing,Mississippi,2 charged with kidnapping in mississippi negro killing,2 charged with kidnapping in mississippi negro killing
29,Foot Forward in Mississippi,Mississippi,foot forward in mississippi,foot forward in mississippi
30,9 Are Killed in Mississippi In Head-On Auto Collision,Mississippi,9 are killed in mississippi in head-on auto collision,9 are killed in mississippi in head-on auto collision
31,"Informer Links Klan To Rights Slayings; Policeman, Informer, Links Klan to Mississippi Rights Slayings",Mississippi,"informer links klan to rights slayings policeman, informer, links klan to mississippi rights slayings",informer links klan to rights slayings policeman informer links klan to mississippi rights slayings
32,"KILLING FOLLOWS MISSISSIPPI VOTE; Negro Slain, White Is Held --16 Negroes Win Elections",Mississippi,"killing follows mississippi vote negro slain, white is held --16 negroes win elections",killing follows mississippi vote negro slain white is held --16 negroes win elections
33,MEREDITH TO START MISSISSIPPI MARCH,Mississippi,meredith to start mississippi march,meredith to start mississippi march
34,JOB LOSSES FACING MISSISSIPPI NEGRO; Reductions in Cotton Crop Threaten a Delta Cutback,Mississippi,job losses facing mississippi negro reductions in cotton crop threaten a delta cutback,job losses facing mississippi negro reductions in cotton crop threaten a delta cutback
35,SPENDING QUERIED IN POVERTY DRIVE; U.S. Agency Finds Flaws in Mississippi Project,Mississippi,spending queried in poverty drive u.s. agency finds flaws in mississippi project,spending queried in poverty drive u.s. agency finds flaws in mississippi project
36,U.S. AIDES APPROVE MISSISSIPPI PLANS; 24 School Districts' Pacts on Integration Accepted,Mississippi,u.s. aides approve mississippi plans 24 school districts' pacts on integration accepted,u.s. aides approve mississippi plans 24 school districts' pacts on integration accepted
37,Republican State Senator Is Elected in Mississippi,Mississippi,republican state senator is elected in mississippi,republican state senator is elected in mississippi
38,Johnson Man Had to Flee Mississippi,Mississippi,johnson man had to flee mississippi,johnson man had to flee mississippi
39,Mississippi Negroes Being Urged to Dodge Draft,Mississippi,mississippi negroes being urged to dodge draft,mississippi negroes being urged to dodge draft
40,MISSISSIPPI CREST TOPS 1851 RECORD; Workers Reinforce Dikes on Illinois and Iowa Shores,Mississippi,mississippi crest tops 1851 record workers reinforce dikes on illinois and iowa shores,mississippi crest tops 1851 record workers reinforce dikes on illinois and iowa shores
41,SOUTHERN UTILITY SELLS BOND ISSUE; Mississippi Power to Push Expansion in Southeast,Mississippi,southern utility sells bond issue mississippi power to push expansion in southeast,southern utility sells bond issue mississippi power to push expansion in southeast
42,Mississippi Editor Is Honored For Fighting for Civil Liberties,Mississippi,mississippi editor is honored for fighting for civil liberties,mississippi editor is honored for fighting for civil liberties
43,OPPRESSION LAID TO MISSISSIPPI; Reprisals on Voting Issue Depicted by U.S. Official Food Supply Stoppage Ways to Retaliate,Mississippi,oppression laid to mississippi reprisals on voting issue depicted by u.s. official food supply stoppage ways to retaliate,oppression laid to mississippi reprisals on voting issue depicted by u.s. official food supply stoppage ways to retaliate
44,ELECTRICITY USED AS AN ANESTHETIC; Device Employed on Woman Patient in Mississippi -Army Backed Study,Mississippi,electricity used as an anesthetic device employed on woman patient in mississippi -army backed study,electricity used as an anesthetic device employed on woman patient in mississippi -army backed study
45,HUMBLE CUTS OIL PRICE; Company Will Pay Less for Its Mississippi Crude,Mississippi,humble cuts oil price company will pay less for its mississippi crude,humble cuts oil price company will pay less for its mississippi crude
46,Negro Files Suit for Admission To All-White U. of Mississippi,Mississippi,negro files suit for admission to all-white u. of mississippi,negro files suit for admission to all-white u. of mississippi
47,2 Mississippi Counties Vote Legalized Liquor,Mississippi,2 mississippi counties vote legalized liquor,2 mississippi counties vote legalized liquor
48,MANY IN FACULTY QUIT MISSISSIPPI; Teachers Upset by Dispute and Lack of Discipline Discipline a Factor Hindrance to Recruiting Campus Disorders Increase,Mississippi,many in faculty quit mississippi teachers upset by dispute and lack of discipline discipline a factor hindrance to recruiting campus disorders increase,many in faculty quit mississippi teachers upset by dispute and lack of discipline discipline a factor hindrance to recruiting campus disorders increase
49,Integrated Audience Hails Leontyne Price in Mississippi Home Town,Mississippi,integrated audience hails leontyne price in mississippi home town,integrated audience hails leontyne price in mississippi home town
50,U.S. SUIT DEMANDS NEGRO VOTE RIGHT; Action Says Sheriff Attacked Mississippi Registrants,Mississippi,u.s. suit demands negro vote right action says sheriff attacked mississippi registrants,u.s. suit demands negro vote right action says sheriff attacked mississippi registrants
51,Mississippi Reapportions,Mississippi,mississippi reapportions,mississippi reapportions
52,U.S. ACTS TO OPEN MISSISSIPPI VOTE; Suit Attacks Registration Closing in Hinds County Vote Drive Planned Elements in U.S. Suit State Is Also Named,Mississippi,u.s. acts to open mississippi vote suit attacks registration closing in hinds county vote drive planned elements in u.s. suit state is also named,u.s. acts to open mississippi vote suit attacks registration closing in hinds county vote drive planned elements in u.s. suit state is also named
53,MISSISSIPPI BLAST LAID TO LIGHTNING,Mississippi,mississippi blast laid to lightning,mississippi blast laid to lightning
54,MEREDITH UPHELD BY SUPREME COURT; Tribunal Lets Stand Lower Bench's Mandate to Admit Negro at Mississippi U. MEREDITH UPHELD IN SUPREME COURT,Mississippi,meredith upheld by supreme court tribunal lets stand lower bench's mandate to admit negro at mississippi u. meredith upheld in supreme court,meredith upheld by supreme court tribunal lets stand lower bench's mandate to admit negro at mississippi u. meredith upheld in supreme court
55,Africans Adopting Meredith as a Symbol; STRESS STRUGGLE TO GAIN EQUALITY Reaction Abroad Sees U.S. Losing Prestige as Result of Mississippi Disorders,Mississippi,africans adopting meredith as a symbol stress struggle to gain equality reaction abroad sees u.s. losing prestige as result of mississippi disorders,africans adopting meredith as a symbol stress struggle to gain equality reaction abroad sees u.s. losing prestige as result of mississippi disorders
56,JUSTICE AIDE HAILS GAIN IN MISSISSIPPI,Mississippi,justice aide hails gain in mississippi,justice aide hails gain in mississippi
57,Randolph Lauds Kennedy For Action in Mississippi,Mississippi,randolph lauds kennedy for action in mississippi,randolph lauds kennedy for action in mississippi
58,Kennedy Lauded on Mississippi Role at Rally Here,Mississippi,kennedy lauded on mississippi role at rally here,kennedy lauded on mississippi role at rally here
59,U.S. RACIAL ACTION PRAISED IN AFRICA; Firm Handling of Mississippi Crisis Said to Have Made a Favorable Impression Guinea Leaders Approve U.S. RACIAL ACTION PRAISED IN AFRICA,Mississippi,u.s. racial action praised in africa firm handling of mississippi crisis said to have made a favorable impression guinea leaders approve u.s. racial action praised in africa,u.s. racial action praised in africa firm handling of mississippi crisis said to have made a favorable impression guinea leaders approve u.s. racial action praised in africa
60,Mopac Share Deal Offered By Mississippi River Fuel,Mississippi,mopac share deal offered by mississippi river fuel,mopac share deal offered by mississippi river fuel
61,Negroes Will Press Drive in Mississippi By Mock Elections,Mississippi,negroes will press drive in mississippi by mock elections,negroes will press drive in mississippi by mock elections
62,U. OF MISSISSIPPI TO SEEK NEGROES; Recruiting by Law School Is Aided by Ford Grant,Mississippi,u. of mississippi to seek negroes recruiting by law school is aided by ford grant,u. of mississippi to seek negroes recruiting by law school is aided by ford grant
63,MISSISSIPPI CONVICT TELLS OF LOOT DEAL,Mississippi,mississippi convict tells of loot deal,mississippi convict tells of loot deal
64,13 Klansmen Held for Grand Jury in Death of Negro Civil Rights Leader in Mississippi,Mississippi,13 klansmen held for grand jury in death of negro civil rights leader in mississippi,13 klansmen held for grand jury in death of negro civil rights leader in mississippi
65,Guardsmen Withdrawn From Mississippi College; Campus Is Calm After Clash of Negroes and Troopers,Mississippi,guardsmen withdrawn from mississippi college campus is calm after clash of negroes and troopers,guardsmen withdrawn from mississippi college campus is calm after clash of negroes and troopers
66,POWELL ASSISTS MISSISSIPPI GROUP; Prods Antipoverty Office on Funds to Build New Homes,Mississippi,powell assists mississippi group prods antipoverty office on funds to build new homes,powell assists mississippi group prods antipoverty office on funds to build new homes
67,Unitarian Flees Mississippi After Racists Threaten Him,Mississippi,unitarian flees mississippi after racists threaten him,unitarian flees mississippi after racists threaten him
68,18 SEIZED BY U.S. IN RIGHTS DEATHS; Mississippi Sheriff and His Chief Deputy Among Group Indicted in 3 Slayings 18 Arrested in the June Slayings Of Mississippi Rights Workers,Mississippi,18 seized by u.s. in rights deaths mississippi sheriff and his chief deputy among group indicted in 3 slayings 18 arrested in the june slayings of mississippi rights workers,18 seized by u.s. in rights deaths mississippi sheriff and his chief deputy among group indicted in 3 slayings 18 arrested in the june slayings of mississippi rights workers
69,"Mississippi Hails Arts Festival, With Negroes in the Audiences",Mississippi,"mississippi hails arts festival, with negroes in the audiences",mississippi hails arts festival with negroes in the audiences
70,Even Mississippi G.O.P. Hopes Lindsay Triumphs,Mississippi,even mississippi g.o.p. hopes lindsay triumphs,even mississippi g.o.p. hopes lindsay triumphs
71,MORE PROFESSORS QUIT MISSISSIPPI U.; College Says 16 Are Going --Outside Survey Lists 35,Mississippi,more professors quit mississippi u. college says 16 are going --outside survey lists 35,more professors quit mississippi u. college says 16 are going --outside survey lists 35
72,Mississippi Barge Line Plans Debenture Issue,Mississippi,mississippi barge line plans debenture issue,mississippi barge line plans debenture issue
73,College in Mississippi To Integrate Voluntarily,Mississippi,college in mississippi to integrate voluntarily,college in mississippi to integrate voluntarily
74,CLERIC DESCRIBES TERROR IN SOUTH; Unitarian Tells of Threats Received in Mississippi,Mississippi,cleric describes terror in south unitarian tells of threats received in mississippi,cleric describes terror in south unitarian tells of threats received in mississippi
75,Mississippi Votes Eased Registration; MISSISSIPPI BACKS EASED VOTE RULES,Mississippi,mississippi votes eased registration mississippi backs eased vote rules,mississippi votes eased registration mississippi backs eased vote rules
76,SON OF REP. REUSS CLEARED IN DEATH; Mississippi County Drops Charge of Manslaughter,Mississippi,son of rep. reuss cleared in death mississippi county drops charge of manslaughter,son of rep. reuss cleared in death mississippi county drops charge of manslaughter
77,RALLY TOMORROW SET IN MISSISSIPPI; 51 More Arrests in Jackson Raise 3-Day Total to 726,Mississippi,rally tomorrow set in mississippi 51 more arrests in jackson raise 3-day total to 726,rally tomorrow set in mississippi 51 more arrests in jackson raise 3-day total to 726
78,COURT TO REVIEW 3 RIGHTS DEATHS; Will Hear Plea on Dismissal in Mississippi Slayings,Mississippi,court to review 3 rights deaths will hear plea on dismissal in mississippi slayings,court to review 3 rights deaths will hear plea on dismissal in mississippi slayings
79,Mississippi Triumphs,Mississippi,mississippi triumphs,mississippi triumphs
80,Student Leaves Mississippi,Mississippi,student leaves mississippi,student leaves mississippi
81,Mississippi,Mississippi,mississippi,mississippi
82,2 Tell of Threats to Life While in Mississippi Jail,Mississippi,2 tell of threats to life while in mississippi jail,2 tell of threats to life while in mississippi jail
83,Sophomore at Mississippi Is Put on Probation for Riot,Mississippi,sophomore at mississippi is put on probation for riot,sophomore at mississippi is put on probation for riot
84,"WALKER DEMANDS A 'VOCAL PROTEST'; Texan, in Mississippi, Hits Plan to Use U.S. Troops",Mississippi,"walker demands a 'vocal protest' texan, in mississippi, hits plan to use u.s. troops",walker demands a 'vocal protest' texan in mississippi hits plan to use u.s. troops
85,BARNETT BALKED BY MISSISSIPPI U.; Trustees Decline to Pledge That They Will Bar Negro,Mississippi,barnett balked by mississippi u. trustees decline to pledge that they will bar negro,barnett balked by mississippi u. trustees decline to pledge that they will bar negro
86,200 Policemen With Clubs Ring Campus to Bar Negro; 200 Policemen Carrying Clubs Ring U. of Mississippi Campus,Mississippi,200 policemen with clubs ring campus to bar negro 200 policemen carrying clubs ring u. of mississippi campus,200 policemen with clubs ring campus to bar negro 200 policemen carrying clubs ring u. of mississippi campus
87,Contempt for Kennedy Voted in Mississippi,Mississippi,contempt for kennedy voted in mississippi,contempt for kennedy voted in mississippi
88,Mississippi's State Colleges Put on Probation; Southern Association Warns of Political Interference  Accreditation Retained,Mississippi,mississippi's state colleges put on probation southern association warns of political interference  accreditation retained,mississippi's state colleges put on probation southern association warns of political interference  accreditation retained
89,Mississippi Student Group Denounces Campus Editor,Mississippi,mississippi student group denounces campus editor,mississippi student group denounces campus editor
90,Contempt in Mississippi,Mississippi,contempt in mississippi,contempt in mississippi
91,"U.S.C., Mississippi, Texas, Oklahoma and Penn State Head Bowl Prospects; ALABAMA CHANCES HURT BY SETBACK Georgia Tech Upsets No. 1 Team--Wisconsin Earns Berth in Rose Bowl",Mississippi,"u.s.c., mississippi, texas, oklahoma and penn state head bowl prospects alabama chances hurt by setback georgia tech upsets no. 1 team--wisconsin earns berth in rose bowl",u.s.c. mississippi texas oklahoma and penn state head bowl prospects alabama chances hurt by setback georgia tech upsets no. 1 team--wisconsin earns berth in rose bowl
92,Ship Launched on Mississippi,Mississippi,ship launched on mississippi,ship launched on mississippi
93,"MISSISSIPPI TOWN SEIZES 19 NEGROES; Dick Gregory, Not Held, Leads Greenwood March",Mississippi,"mississippi town seizes 19 negroes dick gregory, not held, leads greenwood march",mississippi town seizes 19 negroes dick gregory not held leads greenwood march
94,5 NEGROES BEATEN BY MISSISSIPPI MOB; Riders Attacked in McComb -- Crowd Shouts 'Kill 'Em' 5 NEGROES BEATEN BY MISSISSIPPI MOB,Mississippi,5 negroes beaten by mississippi mob riders attacked in mccomb -- crowd shouts 'kill 'em' 5 negroes beaten by mississippi mob,5 negroes beaten by mississippi mob riders attacked in mccomb -- crowd shouts 'kill 'em' 5 negroes beaten by mississippi mob
95,"Meredith Sees a Brighter Day, With Mississippi Leading in It",Mississippi,"meredith sees a brighter day, with mississippi leading in it",meredith sees a brighter day with mississippi leading in it
96,Violence in Mississippi Has Roots in Slavery Furor of the 1830's; Racial Views Are Probably Unshaken,Mississippi,violence in mississippi has roots in slavery furor of the 1830's racial views are probably unshaken,violence in mississippi has roots in slavery furor of the 1830's racial views are probably unshaken
97,"NEWS AND NOTES FROM THE FIELD OF TRAVEL; GROUP TRAVEL PLAN LOCAL SERVICE FARES CARIBBEAN CRUISER WASHINGTON WEEK-END BOOKLETS, BROCHURES MISSISSIPPI FETES CAPITAL HOTEL LINER TO DEBUT HERE AND THERE",Mississippi,"news and notes from the field of travel group travel plan local service fares caribbean cruiser washington week-end booklets, brochures mississippi fetes capital hotel liner to debut here and there",news and notes from the field of travel group travel plan local service fares caribbean cruiser washington week-end booklets brochures mississippi fetes capital hotel liner to debut here and there
98,Kennedy Backer in Mississippi Accuses Rival of Link to Estes; Rep. Smith Says Whitten Had Help From Texan Both Are Seeking Seat in House,Mississippi,kennedy backer in mississippi accuses rival of link to estes rep. smith says whitten had help from texan both are seeking seat in house,kennedy backer in mississippi accuses rival of link to estes rep. smith says whitten had help from texan both are seeking seat in house
99,Behind Mississippi's Bitter Mood,Mississippi,behind mississippi's bitter mood,behind mississippi's bitter mood
0,"Shakespeare as a Texan; Odessa's New Theater, Globe of the Great Southwest, Stirs Imagination",Texas,"shakespeare as a texan odessa's new theater, globe of the great southwest, stirs imagination",shakespeare as a texan odessa's new theater globe of the great southwest stirs imagination
1,Texas Coach Defends Position On 5th-Year Student-Athletes,Texas,texas coach defends position on 5th-year student-athletes,texas coach defends position on 5th-year student-athletes
2,Texas Instruments Offers Its Holders $55-Million Stock,Texas,texas instruments offers its holders $55-million stock,texas instruments offers its holders $55-million stock
3,Texas Sniper's Tumor Is Found 'Highly Malignant',Texas,texas sniper's tumor is found 'highly malignant',texas sniper's tumor is found 'highly malignant'
4,"Blair Cherry, 65, Coached Football at Texas, '46-50",Texas,"blair cherry, 65, coached football at texas, '46-50",blair cherry 65 coached football at texas '46-50
5,Texan to Study India Farms,Texas,texan to study india farms,texan to study india farms
6,New Diocese in Texas,Texas,new diocese in texas,new diocese in texas
7,"MARKET IS MIXED IN HEAVY TRADING; 624 Issues Fall, 542 Climb, but Major Indexes Rise  Space Stocks Decline TEXAS GULF SPURTS 8  Cities Service Adds 3 3/8 as Reports Persist of Deal in the Persian Gulf MARKET IS MIXED IN HEAVY TRADING",Texas,"market is mixed in heavy trading 624 issues fall, 542 climb, but major indexes rise  space stocks decline texas gulf spurts 8  cities service adds 3 3/8 as reports persist of deal in the persian gulf market is mixed in heavy trading",market is mixed in heavy trading 624 issues fall 542 climb but major indexes rise  space stocks decline texas gulf spurts 8  cities service adds 3 3/8 as reports persist of deal in the persian gulf market is mixed in heavy trading
8,UTILITY IN TEXAS REPORTS ADVANCE,Texas,utility in texas reports advance,utility in texas reports advance
9,COKES-HARRIS FIGHT CANCELED BY TEXAS,Texas,cokes-harris fight canceled by texas,cokes-harris fight canceled by texas
10,TEXAS ORDERS BAN ON WESTEC SHARES,Texas,texas orders ban on westec shares,texas orders ban on westec shares
11,A Touch of Texas: Even the Shahtoosh Is Plush,Texas,a touch of texas: even the shahtoosh is plush,a touch of texas: even the shahtoosh is plush
12,I.C.C. Backs Bid to Build New Railroad in Texas; Freight Line Will Operate in the Western Part of State,Texas,i.c.c. backs bid to build new railroad in texas freight line will operate in the western part of state,i.c.c. backs bid to build new railroad in texas freight line will operate in the western part of state
13,REBEL TEXAS PRIEST RELIEVED OF DUTY,Texas,rebel texas priest relieved of duty,rebel texas priest relieved of duty
14,COURT BARS TEXAS FROM LEASING LANDS,Texas,court bars texas from leasing lands,court bars texas from leasing lands
15,Tornado Reported in Texas,Texas,tornado reported in texas,tornado reported in texas
16,"JOHNSON PLEDGES TO HALT BOMBING IF TALKS FOLLOW; Says He 'Assumes' North Vietnam Would Not Take Advantage of Pause PROMPTNESS STRESSED In Texas Speech, President Declares Readiness for a 'Productive' Parley",Texas,"johnson pledges to halt bombing if talks follow says he 'assumes' north vietnam would not take advantage of pause promptness stressed in texas speech, president declares readiness for a 'productive' parley",johnson pledges to halt bombing if talks follow says he 'assumes' north vietnam would not take advantage of pause promptness stressed in texas speech president declares readiness for a 'productive' parley
17,Texas Eastern Extends Offer,Texas,texas eastern extends offer,texas eastern extends offer
18,Humphrey Going to Texas,Texas,humphrey going to texas,humphrey going to texas
19,Texas Opens Park Road Near President's Ranch,Texas,texas opens park road near president's ranch,texas opens park road near president's ranch
20,Texas Boy Wins Oratory Prize,Texas,texas boy wins oratory prize,texas boy wins oratory prize
21,"MISS CREED, WITH 137, LEADS IN TEXAS GOLF",Texas,"miss creed, with 137, leads in texas golf",miss creed with 137 leads in texas golf
22,Texas Fair Official Named,Texas,texas fair official named,texas fair official named
23,THE TEXAS RANGER LIVES HIS LEGEND; Elite Law Corps Still Tough Taciturn and Low Paid,Texas,the texas ranger lives his legend elite law corps still tough taciturn and low paid,the texas ranger lives his legend elite law corps still tough taciturn and low paid
24,CARAVAN IN TEXAS AIDS FARM STRIKE; Gathers Goods and Support for Rio Grande Workers Leader Free on Bond New Mexico Dispute Unsolved,Texas,caravan in texas aids farm strike gathers goods and support for rio grande workers leader free on bond new mexico dispute unsolved,caravan in texas aids farm strike gathers goods and support for rio grande workers leader free on bond new mexico dispute unsolved
25,Johnson at Texas Mass Hears Sermon Backing Vietnam Aims,Texas,johnson at texas mass hears sermon backing vietnam aims,johnson at texas mass hears sermon backing vietnam aims
26,Texas Rangers Investigate An Explosion at Gas Line,Texas,texas rangers investigate an explosion at gas line,texas rangers investigate an explosion at gas line
27,Latin Envoys Enjoy Day at the Ranch; Johnsons Entertain Latin Group With a Big Day at Texas Ranch,Texas,latin envoys enjoy day at the ranch johnsons entertain latin group with a big day at texas ranch,latin envoys enjoy day at the ranch johnsons entertain latin group with a big day at texas ranch
28,"Texas Oil Output Reduced To 3,241,308 Barrels Daily",Texas,"texas oil output reduced to 3,241,308 barrels daily",texas oil output reduced to 3241308 barrels daily
29,University of Texas Wins Fourth 'College Bowl' Quiz,Texas,university of texas wins fourth 'college bowl' quiz,university of texas wins fourth 'college bowl' quiz
30,Commission Raises Oil Rate for Texas; COMMISSION LIFTS OIL RATE IN TEXAS,Texas,commission raises oil rate for texas commission lifts oil rate in texas,commission raises oil rate for texas commission lifts oil rate in texas
31,"TV: Texas and England Perceived; American and Briton Discuss 2 Societies Contrasting, Studies Are Offered by C.B.S.",Texas,"tv: texas and england perceived american and briton discuss 2 societies contrasting, studies are offered by c.b.s.",tv: texas and england perceived american and briton discuss 2 societies contrasting studies are offered by c.b.s.
32,Johnsons Fly to Texas,Texas,johnsons fly to texas,johnsons fly to texas
33,Students Protest Banning Campus Rights Group; 400 at Texas Southern U. Demonstrate as Friends of S.N.C.C. Is Barred,Texas,students protest banning campus rights group 400 at texas southern u. demonstrate as friends of s.n.c.c. is barred,students protest banning campus rights group 400 at texas southern u. demonstrate as friends of s.n.c.c. is barred
34,"WIDE TEXAS AREA STRUCK BY FLOODS; Thousands Are Homeless-- Rivers, Fed by Rain From Beulah, Continue Rise Floods Isolate Scores of Texas Cities Snakes Enter Homes No Whooping Crane Crisis",Texas,"wide texas area struck by floods thousands are homeless-- rivers, fed by rain from beulah, continue rise floods isolate scores of texas cities snakes enter homes no whooping crane crisis",wide texas area struck by floods thousands are homeless-- rivers fed by rain from beulah continue rise floods isolate scores of texas cities snakes enter homes no whooping crane crisis
